"SpecimenCode","XID","CollectionCode","Site","Tree","Tray","DateCollected","Class","Order","Family","SpeciesCode","Genus","species","trophic","Origin","Stage","Lengthmm","Abundance","IND_BIOM"
"0001-001",1,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Heteroptera","Lygaeidae","nysinemo","Nysius","nemorivagus","H","endemic","adult","5",1,1.0403
"0001-002",2,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Heteroptera","Lygaeidae","nysinemo","Nysius","nemorivagus","H","endemic","adult","4",1,0.6562
"0001-002",2,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Heteroptera","Lygaeidae","nysinemo","Nysius","nemorivagus","H","endemic","adult","4",1,0.6562
"0001-003",3,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Heteroptera","Miridae","pseusmo1","Pseudoclerada","sp_MO1","U","endemic","adult","5",1,1.3333
"0001-003",3,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Heteroptera","Miridae","pseusmo1","Pseudoclerada","sp_MO1","U","endemic","adult","5",1,1.3333
"0001-004",4,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Heteroptera","Miridae","koanhawa","Koanoa","hawaiiensis","H","endemic","adult","3",1,0.408
"0002-001",5,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Coleoptera","Carabidae","blactric","Blackburnia","tricolor","P","endemic","immature",".",1,3.367
"0002-002",6,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Coleoptera","Carabidae","blacchel","Blackburnia","cheloniceps","P","endemic","adult",".",1,4.748
"0002-003",7,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Coleoptera","Carabidae","mecyocul","Mecyclothorax","oculatus","P","endemic","adult",".",1,1.649
"0003-001",8,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Coleoptera","Ciidae","cisporc","Cis","porcatus","D","endemic","adult",".",1,0.1238
"0003-002",9,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Coleoptera","Aglycyderidae","protsu11","Proterhinus","sp_11","D","endemic","adult",".",1,0.584
"0003-003",10,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Coleoptera","Aglycyderidae","protsu10","Proterhinus","sp_10","D","endemic","adult",".",1,1.005
"0003-004",11,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Coleoptera","Aglycyderidae","protsu11","Proterhinus","sp_11","D","endemic","adult",".",1,0.584
"0003-005",12,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Coleoptera","Aglycyderidae","protsu10","Proterhinus","sp_10","D","endemic","adult",".",1,1.005
"0003-006",13,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Coleoptera","Aglycyderidae","protsu11","Proterhinus","sp_11","D","endemic","adult",".",1,0.584
"0003-007",14,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Coleoptera","Aglycyderidae","protsu11","Proterhinus","sp_11","D","endemic","adult",".",1,0.584
"0003-008",15,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Coleoptera","Aglycyderidae","protsu10","Proterhinus","sp_10","D","endemic","adult",".",1,1.005
"0003-009",16,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Coleoptera","Aglycyderidae","protsu16","Proterhinus","sp_16","D","endemic","adult",".",1,0.284
"0003-010",17,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Coleoptera","Aglycyderidae","protsu10","Proterhinus","sp_10","D","endemic","adult",".",1,1.005
"0004-001",18,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Diptera","Dolichopodidae","eurynsp1","Eurynogaster","n_sp_1","P","endemic","adult","3",1,0.2584
"0004-001",18,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Diptera","Dolichopodidae","eurynsp1","Eurynogaster","n_sp_1","P","endemic","adult","3",1,0.2584
"0004-001",18,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Diptera","Dolichopodidae","eurynsp1","Eurynogaster","n_sp_1","P","endemic","adult","3",1,0.2584
"0004-001",18,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Diptera","Dolichopodidae","eurynsp1","Eurynogaster","n_sp_1","P","endemic","adult","3",1,0.2584
"0004-001",18,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Diptera","Dolichopodidae","eurynsp1","Eurynogaster","n_sp_1","P","endemic","adult","3",1,0.2584
"0004-001",18,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Diptera","Dolichopodidae","eurynsp1","Eurynogaster","n_sp_1","P","endemic","adult","3",1,0.2584
"0004-002",19,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Diptera","Psychodidae","trichawa","Trichomyia","hawaiiensis","U","endemic","adult","1",1,0.0153
"0004-003",20,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Diptera","Drosophilidae","drosmolo","Drosophila","molokaiensis","D","endemic","adult","2",1,0.091
"0004-004",21,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Diptera","Drosophilidae","scapuniv","Scaptomyza","univitta","D","endemic","adult","2",1,0.091
"0004-005",22,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Diptera","Drosophilidae","scapbrya","Scaptomyza","bryani","P","endemic","adult","2",1,0.091
"0005-001",23,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Orthoptera","Gryllidae","trigatro","Trigonidium","atroferrugineum","D","endemic","immature","2",1,0.1186
"0005-002",24,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Orthoptera","Gryllidae","trigatro","Trigonidium","atroferrugineum","D","endemic","immature","3",1,0.3574
"0006-001",25,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Lepidoptera","Oecophoridae","thyrjsu3","Thyrocopa","larval sp_3","D","endemic","immature","3",1,0.1941
"0006-002",26,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Lepidoptera","Geometridae","scotjsu7","Scotorythra","larval sp_7","H","endemic","immature","4",1,0.3193
"0006-003",27,"MO9700-1","MO",0,1,"10/22/1997","Malacostraca","Amphipoda","Talitridae","platlani","Platorchestia","nr_lanipo","D","endemic","adult","9",1,3.193
"0006-004",28,"MO9700-1","MO",0,1,"10/22/1997","Malacostraca","Amphipoda","Talitridae","platlani","Platorchestia","nr_lanipo","D","endemic","immature","3",1,0.1677
"0006-004",28,"MO9700-1","MO",0,1,"10/22/1997","Malacostraca","Amphipoda","Talitridae","platlani","Platorchestia","nr_lanipo","D","endemic","immature","3",1,0.1677
"0006-005",29,"MO9700-1","MO",0,1,"10/22/1997","Malacostraca","Amphipoda","Talitridae","platlani","Platorchestia","nr_lanipo","D","endemic","adult","10",1,4.2356
"0006-006",30,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Lepidoptera","Geometridae","scotjsu1","Scotorythra","larval sp_1","H","endemic","immature","3",1,0.1941
"0007-001",31,"MO9700-1","MO",0,1,"10/22/1997","Arachnida","Araneae","Tetragnathidae","tetracut","Tetragnatha","acuta","P","endemic","immature","2",1,0.1971
"0008-001",32,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Homoptera","Delphacidae","leialehu","Leialoha","lehuae","H","endemic","immature","2",1,0.1399
"0008-002",33,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Homoptera","Delphacidae","leialehu","Leialoha","lehuae","H","endemic","immature","1",1,0.0206
"0009-001",34,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Hymenoptera","Dryinidae","dicoperk","Dicondylus","perkinsi","P","endemic","adult","2",1,0.0725
"0009-002",35,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Hymenoptera","Bethylidae","sierspuK","Sierola","sp_K","P","endemic","adult","2",1,0.0725
"0009-003",36,"MO9700-1","MO",0,1,"10/22/1997","Insecta","Hymenoptera","Bethylidae","sierspuK","Sierola","sp_K","P","endemic","adult","2",1,0.0725
"0010-001",37,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Coleoptera","Ciidae","cisseta","Cis","setarius","D","endemic","adult",".",1,0.13
"0010-002",38,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Coleoptera","Ciidae","cisnigr","Cis","nigrofasciatus","D","endemic","adult",".",1,0.242
"0010-003",39,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Coleoptera","Ciidae","cissign","Cis","signatus","D","endemic","adult",".",1,0.173
"0010-004",40,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Coleoptera","Ciidae","cisporc","Cis","porcatus","D","endemic","adult",".",1,0.1238
"0010-005",41,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Coleoptera","Curculionidae","oodepalu","Oodemas","paludicola","D","endemic","adult",".",1,1.224
"0010-006",42,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Coleoptera","Coccinellidae","halmchal","Halmus","chalybeus","P","intentional introduction","immature","4",1,0.3193
"0010-006",42,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Coleoptera","Coccinellidae","halmchal","Halmus","chalybeus","P","intentional introduction","immature","4",1,0.3193
"0010-007",43,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Coleoptera","Aglycyderidae","protsu13","Proterhinus","sp_13","D","endemic","adult",".",1,0.305
"0010-008",44,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Coleoptera","Aglycyderidae","protsu11","Proterhinus","sp_11","D","endemic","adult",".",1,0.584
"0010-009",45,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Coleoptera","Aglycyderidae","protsu11","Proterhinus","sp_11","D","endemic","adult",".",1,0.584
